"ContactBookId";"CompanyId";"Name";"Phone";"Email";"Address"
Isaque;IsaqueSchuwarteSilva;Empresarial;29748316749;isaque@gmail.com;rua pra teste, n05
Isaque;;Pessoal;17302957843;isaqueee@gmail.com;rua pra teste, n06
Josévis;;Empre;19057349207;josevis@gmail.com;rua pra teste, n07
Zé;Zénildo;Empresarial;82904168990;zenildo@gmail.com;rua pra teste, n08
Maurício;ZetaInfo;Lanternagem;99998221675;mauri@gmail.com;rua pra teste, n09
Elisana;Começo de Vida;Empresarial;99801221457;elis@gmail.com;rua pra teste, n10
Isabela;;Teste;12849104850;belaisa@gmail.com;rua pra teste, n11
Matheus;;Desenvolvedor;19283044005;math@gmail.com;rua pra teste, n12
Isabela;;Inexistente;12933319068;beuuula@gmail.com;rua pra teste, n13
Teste;;Testerson;89890097867;teste@gmail.com;rua pra teste, n14
